id,year,month,day,hr,min,sec,Lat,Lon,depth,Mw,time_date
131,2016,8,28,13,7,32,42.5953,13.2923,10.3,3.65,28/08/2016 13:07
132,2016,8,28,15,37,38,42.7732,13.1192,10.9,3.57,28/08/2016 15:37
133,2016,8,28,15,55,35,42.8198,13.2382,8.7,4.38,28/08/2016 15:55
134,2016,8,28,16,42,1,42.8207,13.1428,9.8,3.78,28/08/2016 16:42
135,2016,8,28,20,22,30,42.7398,13.2032,9.1,3.1,28/08/2016 20:22
136,2016,8,29,1,44,25,42.7625,13.1948,9.8,3.45,29/08/2016 01:44
137,2016,8,29,6,20,10,42.7482,13.1865,9.3,3.58,29/08/2016 06:20
138,2016,8,29,16,43,52,42.8287,13.1483,8.7,3.02,29/08/2016 16:43
139,2016,8,29,17,52,22,42.8628,13.2198,8.3,3.31,29/08/2016 17:52
140,2016,8,30,0,35,55,42.8038,13.1408,9,3.44,30/08/2016 00:35
141,2016,8,30,17,52,0,42.4773,13.2702,15.9,3.06,30/08/2016 17:52
142,2016,8,30,22,11,15,42.8212,13.2613,9.6,3.05,30/08/2016 22:11
143,2016,8,31,1,41,48,42.806,13.1587,10.7,3.1,31/08/2016 01:41
144,2016,8,31,9,46,16,42.7568,13.1792,10.6,3.27,31/08/2016 09:46
145,2016,8,31,11,26,1,42.8397,13.1358,10.9,3.76,31/08/2016 11:26
146,2016,8,31,11,52,31,42.8663,13.2363,10.3,3.52,31/08/2016 11:52
147,2016,8,31,13,23,4,42.7577,13.236,12.1,3.88,31/08/2016 13:23
148,2016,8,31,18,12,52,42.8272,13.2595,9.4,3.69,31/08/2016 18:12
149,2016,8,31,20,8,2,42.8278,13.1347,10.8,3.5,31/08/2016 20:08
150,2016,8,31,21,42,52,42.7795,13.1653,10.7,3.49,31/08/2016 21:42
151,2016,8,31,22,14,9,42.7475,13.2387,10.5,3.5,31/08/2016 22:14
152,2016,9,1,1,55,52,42.847,13.1813,15.1,3.06,01/09/2016 01:55
153,2016,9,1,3,53,3,42.6232,13.3153,9.9,3.61,01/09/2016 03:53
154,2016,9,1,6,49,34,42.8583,13.2342,10.4,3.14,01/09/2016 06:49
155,2016,9,1,9,40,29,42.813,13.2358,9.7,3.09,01/09/2016 09:40
156,2016,9,1,11,2,43,42.81,13.1685,10.6,3.1,01/09/2016 11:02
157,2016,9,1,11,35,57,42.5637,13.3038,12.1,3.66,01/09/2016 11:35
158,2016,9,3,1,34,12,42.7753,13.13,10.6,4.28,03/09/2016 01:34
159,2016,9,3,3,19,14,42.8117,13.1997,7.7,3.01,03/09/2016 03:19
160,2016,9,3,10,18,51,42.8657,13.2145,9.3,4.51,03/09/2016 10:18
161,2016,9,3,10,31,10,42.8627,13.2142,8.7,3.04,03/09/2016 10:31
162,2016,9,3,15,26,26,42.8677,13.2167,8.6,3,03/09/2016 15:26
163,2016,9,3,16,32,22,42.8592,13.2253,9.3,3.22,03/09/2016 16:32
164,2016,9,3,21,20,16,42.7875,13.1118,9.8,3.16,03/09/2016 21:20
165,2016,9,5,4,22,20,42.8487,13.2153,8.6,3.21,05/09/2016 04:22
166,2016,9,5,18,42,51,42.7688,13.1708,12.7,3.04,05/09/2016 18:42
167,2016,9,5,19,59,37,42.8557,13.2362,9.4,3.18,05/09/2016 19:59
168,2016,9,5,21,36,11,42.6523,13.34,10.4,3.53,05/09/2016 21:36
169,2016,9,5,22,49,46,42.83,13.003,9.5,3.03,05/09/2016 22:49
170,2016,9,6,0,18,11,42.6557,13.3358,10,3.24,06/09/2016 00:18
171,2016,9,6,9,56,26,42.7602,13.1885,9.9,3.22,06/09/2016 09:56
172,2016,9,6,20,52,39,42.8643,13.2232,9.5,3.23,06/09/2016 20:52
173,2016,9,7,0,4,10,42.7348,13.1918,12.8,3.31,07/09/2016 00:04
174,2016,9,7,5,8,47,42.8002,13.2043,10.2,3.44,07/09/2016 05:08
175,2016,9,7,18,13,26,42.8028,13.2428,9.7,3.32,07/09/2016 18:13
176,2016,9,8,6,25,53,42.953,13.1568,8.7,3.21,08/09/2016 06:25
177,2016,9,10,2,29,39,42.837,13.2627,9.2,3.04,10/09/2016 02:29
178,2016,9,10,14,23,36,42.9557,13.161,8.9,3.22,10/09/2016 14:23
179,2016,9,10,17,0,2,42.7863,13.2352,9.3,3.31,10/09/2016 17:00
180,2016,9,11,18,39,2,42.6817,13.28,9.9,3.28,11/09/2016 18:39
181,2016,9,12,2,10,59,42.7975,13.2245,6.9,3.08,12/09/2016 02:10
182,2016,9,13,11,4,20,42.5838,13.2045,15.9,3.42,13/09/2016 11:04
183,2016,9,14,3,7,44,42.7337,13.1787,13.8,3.06,14/09/2016 03:07
184,2016,9,15,13,51,29,42.7792,13.1278,10.2,3.08,15/09/2016 13:51
185,2016,9,15,14,40,47,42.7758,13.1328,8.5,3.07,15/09/2016 14:40
186,2016,9,15,14,40,52,42.7848,13.1325,10,3.93,15/09/2016 14:40
187,2016,9,15,14,43,51,42.7762,13.132,10.1,3.67,15/09/2016 14:43
188,2016,9,15,14,44,24,42.7783,13.1362,8.5,3.89,15/09/2016 14:44
189,2016,9,15,17,27,54,42.7632,13.0868,10.5,3.08,15/09/2016 17:27
190,2016,9,16,21,57,2,42.8202,13.2435,7.3,3.12,16/09/2016 21:57
191,2016,9,17,7,35,21,42.8442,13.2328,10.5,3.43,17/09/2016 07:35
192,2016,9,17,13,25,25,42.6657,13.2528,10.9,3.34,17/09/2016 13:25
193,2016,9,18,1,55,35,42.6768,13.2855,9.6,3.22,18/09/2016 01:55
194,2016,9,18,3,51,49,42.8212,13.2498,8.4,3.09,18/09/2016 03:51
195,2016,9,19,23,34,25,42.6742,13.2837,9.7,4.07,19/09/2016 23:34
196,2016,9,20,1,20,53,42.6772,13.2902,9.3,3.33,20/09/2016 01:20
197,2016,9,20,3,30,2,42.8055,13.1553,10.1,3.12,20/09/2016 03:30
198,2016,9,20,3,30,19,42.8073,13.1527,10,3.41,20/09/2016 03:30
199,2016,9,21,7,7,23,42.8052,13.1518,10,3.46,21/09/2016 07:07
200,2016,9,22,7,54,20,42.7853,13.1263,10,3,22/09/2016 07:54
201,2016,9,22,20,3,54,42.758,13.1853,10.9,3.78,22/09/2016 20:03
202,2016,9,22,20,4,55,42.7597,13.1882,11.1,3.27,22/09/2016 20:04
203,2016,9,25,6,46,29,42.7427,13.2278,10.7,3,25/09/2016 06:46
204,2016,9,28,10,4,9,42.873,13.1633,8.7,3.01,28/09/2016 10:04
205,2016,9,28,11,27,24,42.5455,13.2423,11.6,3.33,28/09/2016 11:27
206,2016,9,30,19,22,28,42.896,13.2482,9.3,3.35,30/09/2016 19:22
207,2016,9,30,19,38,37,42.895,13.2435,9.1,3.58,30/09/2016 19:38
208,2016,10,2,23,47,7,42.7897,13.2303,9.4,3.44,02/10/2016 23:47
